,Model,Displ,Cyl,Trans,Drive,Fuel,Sales_Area,Stnd,Underhood_ID,Veh_Class,Air_Pollution_Score,FE_Calc_Appr,City_MPG,Hwy_MPG,Cmb_MPG,Unadj_Cmb_MPG,Greenhouse_Gas_Score,SmartWay
0,ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,CA,U2,8HNXT03.7PKR,SUV,7,Drv,15,20,17,22.0527,4,no
1,ACURA MDX,3.7,(6 cyl),Auto-S5,4WD,Gasoline,FA,B5,8HNXT03.7PKR,SUV,6,Drv,15,20,17,22.0527,4,no
2,ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,CA,U2,8HNXT02.3DKR,SUV,7,Drv,17,22,19,24.1745,5,no
3,ACURA RDX,2.3,(4 cyl),Auto-S5,4WD,Gasoline,FA,B5,8HNXT02.3DKR,SUV,6,Drv,17,22,19,24.1745,5,no
4,ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,CA,U2,8HNXV03.5HKR,midsize car,7,Drv,16,24,19,24.5629,5,no
5,ACURA RL,3.5,(6 cyl),Auto-S5,4WD,Gasoline,FA,B5,8HNXV03.5HKR,midsize car,6,Drv,16,24,19,24.5629,5,no
6,ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8HNXV03.5HKR,midsize car,7,Drv,18,26,21,27.2768,6,yes
7,ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,CA,U2,8HNXV03.5RKR,midsize car,7,Drv,17,26,20,25.9414,6,yes
8,ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8HNXV03.5RKR,midsize car,7,Drv,18,27,21,27.569,6,yes
9,ACURA TL,3.2,(6 cyl),Auto-S5,2WD,Gasoline,FA,B5,8HNXV03.5HKR,midsize car,6,Drv,18,26,21,27.2768,6,no
10,ACURA TL,3.5,(6 cyl),Auto-S5,2WD,Gasoline,FA,B5,8HNXV03.5RKR,midsize car,6,Drv,17,26,20,25.9414,6,no
11,ACURA TL,3.5,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8HNXV03.5RKR,midsize car,6,Drv,18,27,21,27.569,6,no
12,ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8HNXV02.4FKC,small car,6,Drv,19,28,22,29.0566,6,no
13,ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,FA,B5,8HNXV02.4FKC,small car,6,Drv,20,28,23,29.9192,7,yes
14,ACURA TSX,2.4,(4 cyl),Man-6,2WD,Gasoline,CA,L2,8HNXV02.4FKC,small car,6,Drv,19,28,22,29.0566,6,no
15,ACURA TSX,2.4,(4 cyl),Auto-S5,2WD,Gasoline,CA,L2,8HNXV02.4FKC,small car,6,Drv,20,28,23,29.9192,7,yes
16,ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
17,ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,11,18,13,16.9826,1,no
18,ASTON MARTIN DB9,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
19,ASTON MARTIN DB9,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,11,18,13,16.9826,1,no
20,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
21,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ASXV05.9803,small car,6,Drv,11,17,13,17.0071,1,no
22,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Man-6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,10,16,12,15.625,0,no
23,ASTON MARTIN DB9 Volante,5.9,(12 cyl),Auto-S6,2WD,Gasoline,CA,L2,8ASXV05.9803,small car,6,Drv,11,17,13,17.0071,1,no
24,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,FA,B5,8ASXV04.3305,small car,6,Drv,12,19,15,18.6241,3,no
25,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ASXV04.3305,small car,6,Drv,13,20,15,19.8474,3,no
26,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Man-6,2WD,Gasoline,CA,L2,8ASXV04.3305,small car,6,Drv,12,19,15,18.6241,3,no
27,ASTON MARTIN V8 Vantage,4.3,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,8ASXV04.3305,small car,6,Drv,13,20,15,19.8474,3,no
28,AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,CA,U2,8ADXV02.0366,station wagon,7,Drv,21,29,24,31.1162,7,yes
29,AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8ADXV02.0366,station wagon,7,Drv,22,29,25,32.5709,7,yes
30,AUDI A3,2.0,(4 cyl),Man-6,2WD,Gasoline,FA,B5,8ADXV02.0366,station wagon,6,Drv,21,29,24,31.1162,7,yes
31,AUDI A3,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ADXV02.0366,station wagon,6,Drv,22,29,25,32.5709,7,yes
32,AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8VWXV03.2535,station wagon,6,Drv,18,25,21,27.2385,6,no
33,AUDI A3,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8VWXV03.2535,station wagon,6,Drv,18,25,21,27.2385,6,no
34,AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,CA,U2,8ADXV02.0352,small car,7,Drv,21,30,24,31.8164,7,yes
35,AUDI A4,2.0,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8ADXV02.0352,small car,6,Drv,21,30,24,31.8164,7,yes
36,AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,15,25,19,23.9213,5,no
37,AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,17,25,20,25.8965,6,no
38,AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,18,27,21,27.9074,6,no
39,AUDI A4,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,15,25,19,23.9213,5,no
40,AUDI A4,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,17,25,20,25.8965,6,no
41,AUDI A4,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,18,27,21,27.9074,6,no
42,AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV03.1374,station wagon,6,Drv,15,25,19,23.9213,5,no
43,AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,station wagon,6,Drv,17,25,20,25.8965,6,no
44,AUDI A4 Avant,3.1,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV03.1374,station wagon,6,Drv,15,25,19,23.9213,5,no
45,AUDI A4 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,station wagon,6,Drv,17,25,20,25.8965,6,no
46,AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,small car,6,Drv,17,25,20,25.4651,6,no
47,AUDI A4 Cabriolet,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,small car,6,Drv,17,25,20,25.4651,6,no
48,AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,midsize car,6,Drv,17,25,20,25.8965,6,no
49,AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,FA,B5,8ADXV03.1374,midsize car,6,Drv,18,27,21,27.9074,6,no
50,AUDI A6,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,midsize car,6,Drv,17,25,20,25.8965,6,no
51,AUDI A6,3.1,(6 cyl),Auto-AV,2WD,Gasoline,CA,L2,8ADXV03.1374,midsize car,6,Drv,18,27,21,27.9074,6,no
52,AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2365,midsize car,6,Drv,16,23,18,23.8751,5,no
53,AUDI A6,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2365,midsize car,6,Drv,16,23,18,23.8751,5,no
54,AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV03.1374,station wagon,6,Drv,17,25,20,25.4651,6,no
55,AUDI A6 Avant,3.1,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV03.1374,station wagon,6,Drv,17,25,20,25.4651,6,no
56,AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2365,midsize car,6,Drv,16,23,18,23.8751,5,no
57,AUDI A8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2365,midsize car,6,Drv,16,23,18,23.8751,5,no
58,AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2365,large car,6,Drv,16,23,18,23.8751,5,no
59,AUDI A8 L,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2365,large car,6,Drv,16,23,18,23.8751,5,no
60,AUDI A8 L,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV06.0359,large car,6,Drv,13,19,15,19.4382,3,no
61,AUDI A8 L,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV06.0359,large car,6,Drv,13,19,15,19.4382,3,no
62,AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8VWXT03.6276,SUV,6,Drv,14,20,16,20.8353,4,no
63,AUDI Q7,3.6,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8VWXT03.6276,SUV,6,Drv,14,20,16,20.8353,4,no
64,AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXT04.2358,SUV,6,Drv,12,17,14,17.8889,2,no
65,AUDI Q7,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXT04.2358,SUV,6,Drv,12,17,14,17.8889,2,no
66,AUDI R8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2375,small car,6,Drv,13,19,15,19.555,3,no
67,AUDI R8,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2375,small car,6,Drv,13,20,15,19.1608,3,no
68,AUDI R8,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2375,small car,6,Drv,13,19,15,19.555,3,no
69,AUDI R8,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2375,small car,6,Drv,13,20,15,19.1608,3,no
70,AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2375,small car,6,Drv,13,20,15,19.1608,3,no
71,AUDI RS4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2375,small car,6,Drv,13,20,15,19.1608,3,no
72,AUDI RS4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2375,small car,6,Drv,12,19,14,18.3588,2,no
73,AUDI RS4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2375,small car,6,Drv,12,19,14,18.3588,2,no
74,AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2355,small car,6,Drv,13,20,15,19.862,3,no
75,AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2355,small car,6,Drv,14,21,16,20.927,4,no
76,AUDI S4,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2355,small car,6,Drv,13,20,15,19.862,3,no
77,AUDI S4,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2355,small car,6,Drv,14,21,16,20.927,4,no
78,AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2355,station wagon,6,Drv,13,20,15,19.862,3,no
79,AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2355,station wagon,6,Drv,14,21,16,20.7524,4,no
80,AUDI S4 Avant,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2355,station wagon,6,Drv,13,20,15,19.862,3,no
81,AUDI S4 Avant,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2355,station wagon,6,Drv,14,21,16,20.7524,4,no
82,AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2355,small car,6,Drv,13,19,15,19.6261,3,no
83,AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV04.2355,small car,6,Drv,14,21,16,20.7524,4,no
84,AUDI S4 Cabriolet,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2355,small car,6,Drv,13,19,15,19.6261,3,no
85,AUDI S4 Cabriolet,4.2,(8 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV04.2355,small car,6,Drv,14,21,16,20.7524,4,no
86,AUDI S5,4.2,(8 cyl),Man-6,4WD,Gasoline,FA,B5,8ADXV04.2365,small car,6,Drv,14,21,16,21.2088,4,no
87,AUDI S5,4.2,(8 cyl),Man-6,4WD,Gasoline,CA,L2,8ADXV04.2365,small car,6,Drv,14,21,16,21.2088,4,no
88,AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV05.2385,midsize car,6,Drv,14,19,16,20.4789,4,no
89,AUDI S6,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV05.2385,midsize car,6,Drv,14,19,16,20.4789,4,no
90,AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,FA,B5,8ADXV05.2385,midsize car,6,Drv,13,19,15,19.0325,3,no
91,AUDI S8,5.2,(10 cyl),Auto-S6,4WD,Gasoline,CA,L2,8ADXV05.2385,midsize car,6,Drv,13,19,15,19.0325,3,no
92,AUDI TT Coupe,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8ADXV02.0366,small car,7,Drv,23,31,26,34.2214,8,yes
93,AUDI TT Coupe,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ADXV02.0366,small car,6,Drv,23,31,26,34.2214,8,yes
94,AUDI TT Coupe,3.2,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8VWXV03.2535,small car,6,Drv,17,24,19,25.1621,5,no
95,AUDI TT Coupe,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8VWXV03.2535,small car,6,Drv,18,24,20,26.2801,6,no
96,AUDI TT Coupe,3.2,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8VWXV03.2535,small car,6,Drv,17,24,19,25.1621,5,no
97,AUDI TT Coupe,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8VWXV03.2535,small car,6,Drv,18,24,20,26.2801,6,no
98,AUDI TT Roadster,2.0,(4 cyl),Auto-S6,2WD,Gasoline,CA,U2,8ADXV02.0366,small car,7,Drv,22,29,25,32.5709,7,yes
99,AUDI TT Roadster,2.0,(4 cyl),Auto-S6,2WD,Gasoline,FA,B5,8ADXV02.0366,small car,6,Drv,22,29,25,32.5709,7,yes
100,AUDI TT Roadster,3.2,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8VWXV03.2535,small car,6,Drv,17,24,19,25.1621,5,no
101,AUDI TT Roadster,3.2,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8VWXV03.2535,small car,6,Drv,18,24,20,26.2801,6,no
102,AUDI TT Roadster,3.2,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8VWXV03.2535,small car,6,Drv,17,24,19,25.1621,5,no
103,AUDI TT Roadster,3.2,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8VWXV03.2535,small car,6,Drv,18,24,20,26.2801,6,no
104,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BEXV06.7TTC,large car,6,Drv,9,15,11,14.4488,0,no
105,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BEXV06.7TTC,midsize car,6,Drv,10,15,11,14.3942,0,no
106,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BEXV06.7TTC,large car,6,Drv,9,15,11,14.4488,0,no
107,BENTLEY Arnage,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BEXV06.7TTC,midsize car,6,Drv,10,15,11,14.3942,0,no
108,BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BEXV06.7TTC,small car,6,Drv,9,15,11,14.4488,0,no
109,BENTLEY Azure,6.7,(8 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BEXV06.7TTC,small car,6,Drv,9,15,11,14.4488,0,no
110,BENTLEY Continental Flying Spur,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BEXV06.0501,midsize car,6,Drv,10,17,12,15.7772,0,no
111,BENTLEY Continental Flying Spur,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,8BEXV06.0501,midsize car,6,Drv,10,17,12,15.7772,0,no
112,BENTLEY Continental GT,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BEXV06.0501,small car,6,Drv,10,17,13,16.1613,1,no
113,BENTLEY Continental GT,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,8BEXV06.0501,small car,6,Drv,10,17,13,16.1613,1,no
114,BENTLEY Continental GTC,6.0,(12 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BEXV06.0501,small car,6,Drv,10,17,12,15.7772,0,no
115,BENTLEY Continental GTC,6.0,(12 cyl),Auto-S6,4WD,Gasoline,CA,L2,8BEXV06.0501,small car,6,Drv,10,17,12,15.7772,0,no
116,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,20,30,24,27.7684,7,yes
117,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,23,31,25,28.6009,7,yes
118,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,20,30,24,27.7684,7,yes
119,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,23,31,25,28.6009,7,yes
120,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,20,30,24,27.7684,7,yes
121,BMW 328ci,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,20,30,24,27.7684,7,yes
122,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,23,31,25,28.6009,7,yes
123,BMW 328ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,23,31,25,28.6009,7,yes
124,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,19,29,22,26.3581,6,yes
125,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,20,30,24,27.6154,7,yes
126,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,19,29,22,26.3581,6,yes
127,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,20,30,24,27.6154,7,yes
128,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,19,29,22,26.3581,6,no
129,BMW 328ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,19,29,22,26.3581,6,no
130,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,20,30,24,27.6154,7,yes
131,BMW 328ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,20,30,24,27.6154,7,yes
132,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,20,27,23,26.2843,7,yes
133,BMW 328cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,19,28,22,25.5598,6,yes
134,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,20,27,23,26.2843,7,yes
135,BMW 328cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,19,28,22,25.5598,6,no
136,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,20,27,23,26.2843,7,yes
137,BMW 328cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,20,27,23,26.2843,7,yes
138,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,20,30,24,27.7684,7,yes
139,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,23,31,25,28.6009,7,yes
140,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,20,30,24,27.7684,7,yes
141,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,23,31,25,28.6009,7,yes
142,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,20,30,24,27.7684,7,yes
143,BMW 328i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,20,30,24,27.7684,7,yes
144,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,23,31,25,28.6009,7,yes
145,BMW 328i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,23,31,25,28.6009,7,yes
146,BMW 328i Sport Wagon,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,U2,8BMXB03.0N52,station wagon,7,Drv,19,29,22,26.3581,6,yes
147,BMW 328i Sport Wagon,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXB03.0N52,station wagon,6,Drv,19,29,22,26.3581,6,no
148,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,S2,8BMXV03.0N51,small car,9.5,Drv,20,27,23,26.2843,7,yes
149,BMW 328xi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,19,28,22,25.5598,6,yes
150,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8BMXB03.0N52,small car,7,Drv,20,27,23,26.2843,7,yes
151,BMW 328xi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,19,28,22,25.5598,6,no
152,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXB03.0N52,small car,6,Drv,20,27,23,26.2843,7,yes
153,BMW 328xi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXV03.0N51,small car,6,Drv,20,27,23,26.2843,7,yes
154,BMW 328xi Sport Wagon,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,U2,8BMXB03.0N52,station wagon,7,Drv,19,28,22,25.5598,6,yes
155,BMW 328xi Sport Wagon,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,U2,8BMXB03.0N52,station wagon,7,Drv,20,27,23,26.2843,7,yes
156,BMW 328xi Sport Wagon,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8BMXB03.0N52,station wagon,6,Drv,19,28,22,25.5598,6,no
157,BMW 328xi Sport Wagon,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXB03.0N52,station wagon,6,Drv,20,27,23,26.2843,7,yes
158,BMW 335ci,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
159,BMW 335ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
160,BMW 335ci,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
161,BMW 335ci,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
162,BMW 335ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
163,BMW 335ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
164,BMW 335ci Convertible,3.0,(6 cyl),Man-6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
165,BMW 335ci Convertible,3.0,(6 cyl),Auto-S6,2WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
166,BMW 335cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,18,27,21,25.0543,6,no
167,BMW 335cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,19,27,22,25.5449,6,no
168,BMW 335cxi,3.0,(6 cyl),Man-6,4WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,18,27,21,25.0543,6,no
169,BMW 335cxi,3.0,(6 cyl),Auto-S6,4WD,Gasoline,CA,L2,8BMXV03.0N54,small car,6,Drv,19,27,22,25.5449,6,no
170,BMW 335i,3.0,(6 cyl),Man-6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,19,28,22,25.8212,6,no
171,BMW 335i,3.0,(6 cyl),Auto-S6,2WD,Gasoline,FA,B5,8BMXV03.0N54,small car,6,Drv,20,28,23,26.527,7,yes
